,set_num,name,year,theme_id,num_parts
45,13852,Rebel Blockade Runner - UCS,2001,174,1747
46,9538,4.5V Motor with Wheels (Large Version),1966,243,27
47,4113,"Santa Fe Super Chief, NOT the Limited Edition",2002,236,427
48,11970,"Santa Fe Super Chief, Limited Edition",2002,236,433
49,15624,U.S.S. Constellation,2003,404,974
50,13406,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,237,410
51,8609,Master Builder Set,2002,324,112
52,7884,Red Baron,2002,276,669
53,7806,Santa Fe Cars - Set I (mail or baggage car),2002,237,325
54,6064,Naboo Starfighter - UCS,2002,172,187
55,10953,Train Engine Shed,2003,239,670
56,7830,Lunar Lander,2003,387,468
57,4773,Imperial Star Destroyer - UCS,2002,174,3115
58,14730,Pizza To Go,2002,75,150
59,7939,Breezeway Cafe,2002,75,194
60,12257,Black Falcon's Fortress,2002,186,431
61,4892,Black Seas Barracuda,2002,147,914
62,11136,"Main Street, Reissue",2003,85,639
63,11552,American Flag,2003,206,35
64,2178,2x2 Electrical Plate,2002,254,1
65,2392,Windows and Doors,2002,254,44
66,11168,Pillars and Beams,2002,254,13
67,5150,Brown Tiles,2002,254,100
68,10803,Light Gray Arches,2002,254,36
69,663,Small Wheels and Axles,2002,254,61
70,3511,Large Wheels and Axles,2002,254,31
71,8187,Gray Fences,2002,254,34
72,3857,Transparent Bricks,2002,254,50
73,15654,Black Slopes 33,2003,254,44
74,13634,Black Slopes 33 3 x 2 and 3 x 4,2003,254,68
75,5409,Black Slopes 33 3 x 1 and 3 x 3,2003,254,50
76,2901,White Plates 2 x n,2002,254,56
77,3722,Black Plates 2 x n,2002,254,56
78,7682,Red Plates 2 x n,2002,254,56
79,592,Dark Green Plates 2 x n,2002,254,56
80,16054,Light Gray Plates 2 x n,2002,254,56
81,4103,Black Plates 1 x n,2002,254,84
82,8728,Red Plates 1 x n,2002,254,84
83,12540,Dark Green Plates 1 x n,2002,254,84
84,14868,Light Gray Plates 1 x n,2002,254,84
85,14953,White Plates 1 x n,2002,254,84
86,6575,Castle Accessories,2002,255,41
87,6113,Mini-Fig Headgear,2002,254,53
88,2821,Santa Claus,2002,227,39
89,1320,Christmas Tree,2002,227,33
90,2684,Reindeer,2002,227,26
91,49,Mr. Bunny,2003,229,25
92,1762,TECHNIC Beams,2003,256,56
93,15349,Bushes,2003,256,130
94,8941,Cross Axles,2003,256,68
95,4313,Spider-Man Action Pack,2002,488,25
96,10304,TECHNIC Gear Wheels,2002,256,38
97,12031,TECHNIC Motor,2003,256,55
98,8083,Train Connection Wire,2003,257,1
99,7888,Snowman,2003,227,42
100,15122,Angel,2003,227,33
101,11038,Birthday Pack Heart,2004,500,70
102,2970,Birthday Pack Daisy,2004,500,70
103,16411,Birthday Pack Star,2004,500,70
104,10532,Turkey,2003,231,54
105,12810,Snowflake,2006,227,107
106,13996,4.5V Battery Case,1969,243,1
107,14832,Foliferous Tree,2001,254,10
108,2956,Bush,2001,254,25
109,5441,Cypress Trees,2001,254,5
110,3926,2 x 2 Sand Red Roof Tiles,2001,254,100
111,2854,Jumper Bricks,2001,254,80
112,6606,Accessories Heart,2004,500,50
113,1536,Accessories Daisy,2004,500,50
114,7267,Accessories Star,2004,500,50
115,12048,NBA Basketball Teams,2003,459,16
116,11846,Cloud City,2003,169,707
117,10576,Wright Flyer,2003,276,663
118,1409,NHL Action Set with Stickers,2003,461,56
119,61,Train Level Crossing,2003,239,326
120,4472,Rebel Snowspeeder - UCS,2003,174,1456
121,15037,4.5V Battery Case,1966,243,1
122,13769,TIE Fighter Collection,2004,169,688
123,10570,Motorized Hogwarts Express,2004,246,693
124,11260,Burlington Northern Santa Fe Locomotive,2004,236,400
125,8087,Y-wing Attack Starfighter - UCS,2004,174,1487
126,3408,Death Star II,2005,174,3460
127,6259,Sandcrawler,2005,169,1679
128,11297,Assorted Light Gray Bricks,2004,254,124
129,5690,Assorted Dark Gray Bricks,2004,254,62
130,10508,Assorted Brown Bricks,2004,254,62
131,10294,Assorted Light Gray Plates,2004,254,84
132,15509,Assorted Dark Gray Plates,2004,254,42
133,1260,Assorted Brown Plates,2004,254,42
134,13955,Hot Rod,2004,278,420
135,4530,Maersk Sealand Container Ship 2004 Edition,2004,276,982
136,15600,Maersk Sealand Container Ship 2005 Edition,2005,276,982
137,9990,Maersk Line Container Ship 2006 Edition,2006,276,982
138,12655,Electric Train Motor 9V (My Own Train),2002,244,3
139,15567,Maersk Line Container Ship 2010 Edition,2010,276,984
140,5170,LEGO Truck,2004,85,105
141,12800,High Speed Train Locomotive,2004,239,134
142,4169,High Speed Train Car,2004,239,151
143,9001,City Airport -City Logo Box,2004,53,913
144,9883,City Airport -Full Size Image Box,2004,68,913
145,16384,Black Ridge Roof Tiles,2004,254,48
146,11400,Black Roof Tiles,2004,254,76
147,8513,Red Ridge Tiles,2004,254,48
148,12152,Red Roof Tiles,2004,254,76
149,5873,Elf Boy,2004,227,27
150,14464,Elf Girl,2004,227,31
151,6118,Brickmaster Kit (with Digital Designer CD),2004,301,182
152,13100,Mrs. Bunny,2005,229,64
153,2050,Chicken & Chicks,2005,229,60
154,16071,TTX Intermodal Double-Stack Car,2005,236,365
155,3824,Holiday Train,2006,236,969
156,8536,Imperial AT-ST - UCS,2006,174,1070
157,155,Vader's TIE Advanced - UCS,2006,174,1211
158,7543,Royal King's Castle,2006,197,871
159,6784,Boeing 787 Dreamliner,2006,276,1196
160,5153,Motorized Walking AT-AT,2007,169,1137
161,6409,Millennium Falcon - UCS,2007,174,5195
162,13139,Eiffel Tower 1:300 Scale,2007,276,3428
163,16385,Cafe Corner,2007,155,2058
164,5514,Hobby Train,2007,397,1080
165,8152,Town Plan,2008,104,2017
166,15814,Green Grocer,2008,155,2358
167,5147,General Grievous,2008,173,1084
168,1241,Volkswagen Beetle (VW Beetle),2008,276,1625
169,15042,Death Star,2008,174,3807
170,76,Taj Mahal,2008,276,5922
171,14486,Market Street,2007,155,1250
172,2152,Star Justice,2008,397,884
173,10298,Space Skulls,2008,397,956
174,10306,Medieval Market Village,2009,193,1616
175,13854,Emerald Night,2009,240,1089
176,8987,Republic Dropship with AT-OT,2009,165,1757
177,4131,Grand Carousel,2009,276,3260
178,6696,Fire Brigade,2009,155,2236
179,12811,Tantive IV,2009,169,1408
180,9814,Winter Toy Shop,2009,227,815
181,8211,Universal Building Set,1976,469,129
182,14040,Custom Car Garage,2008,397,893
183,311,Takutanuva,2003,347,3
184,16117,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),2004,347,6
185,1255,Ultimate Dume,2004,347,3
186,15733,Voporak,2005,347,3
187,13141,Vezon & Kardas,2006,347,3
188,1830,Locomotive,2002,238,231
189,8682,4.5V Motor Set,1968,243,24
190,1589,Imperial Flagship,2010,153,1623
191,6619,Grand Emporium,2010,155,2186
192,7299,Imperial Shuttle - UCS,2010,174,2502
193,9519,Shuttle Adventure,2010,276,1203
194,4567,Supplemental Pack for Shuttle Adventure Set 10213,2010,443,29
195,11520,Tower Bridge,2010,276,4295
196,2268,Obi-Wan's Jedi Starfighter - UCS,2010,175,675
197,2996,Winter Village Bakery,2010,227,686
198,14029,Diagon Alley,2011,246,2031
199,14858,Pet Shop,2011,155,2034
200,8986,Maersk Container Train,2011,240,1232
201,15963,Volkswagen T1 Camper Van,2011,276,1333
202,15131,Super Star Destroyer,2011,174,3151
203,330,Winter Village Post Office,2011,227,821
204,15599,Kingdoms Joust,2012,196,1574
205,7420,Town Hall,2012,155,2771
206,4094,R2-D2,2012,171,2130
207,1119,Sopwith Camel,2012,276,877
208,1189,B-wing Starfighter,2012,174,1484
209,505,Haunted House,2012,558,2062
210,15476,Winter Village Cottage,2012,227,1490
211,12633,Mini Modulars,2012,156,1358
212,7748,Shuttle Expedition,2011,276,1229
213,11999,Palace Cinema,2013,155,2192
214,1770,Horizon Express,2013,240,1349
215,2796,Sydney Opera House,2013,276,2988
216,9390,Winter Village Market [Initial Release],2013,227,1259
217,6146,Ewok Village,2013,169,2023
218,4586,The Tower of Orthanc,2013,568,2360
219,5516,Red Five X-Wing Starfighter,2013,174,1573
220,7219,Maersk Line Triple-E,2014,38,1515
221,5889,Mini Cooper,2014,22,1074
222,15553,Mini Cooper,2015,22,1076
223,8683,Parisian Restaurant,2014,155,2469
224,2126,Fairground Mixer,2014,22,1743
225,9616,Santa’s Workshop,2014,228,882
226,2814,Adventurers Value Pack (TRU Exclusive),2001,297,3
227,15538,Detective’s Office,2015,155,2261
228,9971,Ferris Wheel,2015,22,2463
229,14806,Ferrari F40,2015,22,1157
230,5213,Winter Toy Shop,2015,227,895
231,11285,Year Of The Snake,2013,22,244
232,11002,Brick Bank,2016,155,2383
233,4580,Volkswagen Beetle,2016,22,1166
234,11169,Big Ben,2016,43,4166
235,10901,Winter Holiday Train,2016,227,737
236,1305,Assembly Square,2017,155,4009
237,18479,Carousel,2017,22,2669
238,2173,Compass Sensor for Mindstorms NXT,2011,259,1
239,8495,Intelligent NXT Brick (Black),2009,259,1
240,6726,Milk Delivery Truck - Tine,1999,75,90
241,445,Front-End Loader,1970,416,64
242,1384,Front-End Loader,1970,416,56
243,8462,Locomotive Wheels,1977,456,8
244,15686,TECHNIC I: Simple Machines Set,1985,1,189
245,6435,4.5V Motor Set with Rubber Tracks,1969,473,24
246,12946,Building Cards - 1030,1983,532,20
247,2414,TECHNIC II Set {4.5v},1985,1,278
248,4172,Building Cards - 1032,1985,532,20
249,12922,Teachers Resource Set,1985,532,1534
250,13420,ERBIE the Robo-Car,1985,1,120
251,10042,Manual Control Set 1,1986,1,39
252,9907,Replacement 4.5V Motor,1970,243,1
253,10309,Educational LEGO Building Set,1976,511,683
254,3156,Ships - 247 elements and 1 poster,1985,510,238
255,14820,Horse Stable,2013,504,44
256,16396,Zoo friends,2013,504,5
257,3732,My First Circus,2013,504,62
258,13186,Play House,2013,504,83
259,14021,Train Accessory Set,2013,504,24
260,6986,My First Train Set,2013,504,52
261,7726,Deluxe Train Set,2013,504,134
262,11946,Dusty and Chug,2013,504,16
263,12217,Canada Post Truck,1984,81,65
264,14879,Ripslinger's Air Race,2013,504,40
265,6006,Skipper's Flight School,2013,504,49
266,3133,Jake's Treasure Hunt,2013,504,22
267,12889,Never Land Hideout,2013,504,37
268,5586,Jake's Pirate Ship Bucky,2013,504,56
269,1078,Ariel's Undersea Castle,2013,504,39
270,2678,Ariel's Magical Boat Ride,2012,504,29
271,10216,My First Garden,2013,504,37
272,6769,My First Construction Site,2013,504,47
273,7770,Building Set,1973,469,150
274,5394,Big Front Loader,2013,504,12
275,3283,Baby Calf,2014,504,9
276,14473,Farm Animals,2014,504,12
277,913,Farm Tractor,2014,504,29
278,13111,Big Farm,2014,504,121
279,11553,Peter Pan's Visit,2014,504,39
280,9992,Ambulance,2014,504,14
281,272,School Bus,2014,504,26
282,13819,Truck,2014,504,16
283,8162,Community Buildings,1984,533,895
284,8149,Mickey Mouse and Friends,2012,504,65
285,12961,My First Police Set,2014,504,39
286,12781,Fire and Rescue Team,2014,506,30
287,6506,Beach Racing,2014,504,36
288,7079,Stena Line Ferry,1999,471,211
289,6427,Sleeping Beauty's Fairy Tale,2014,579,55
290,13359,Superman™ Rescue,2014,504,19
291,7908,The Joker Challenge,2014,504,40
292,9307,Batcave Adventure,2014,504,59
293,13321,My First Shop,2014,504,39
294,9073,Circus Transport,2013,504,9
295,11943,Creative Cars,2013,504,42
296,14564,Toddler Build and Play Cubes,2013,505,17
297,5659,Toddler Build and Pull Along,2013,505,15
298,6522,Creative Bucket,2013,505,65
299,3240,Giant Tower,2013,504,200
300,10155,Number Train,2013,504,31
301,7666,Basic School Pack - 773 elements with teacher's manual,1985,534,785
302,6132,Toddler Starter Building Set,2013,505,37
303,7975,LEGO® DUPLO® Creative Suitcase,2014,504,135
304,3506,Creative Picnic,2014,504,52
305,4582,Toddler Build and Boat Fun,2014,504,18
306,4753,Knight Tournament,2014,504,16
307,8125,Treasure Attack,2014,504,46
308,12626,LEGO® DUPLO® All-in-One-Gift-Set,2014,504,30
309,16167,All-in-One-Pink-Box-of-Fun,2014,504,65
310,8572,All-in-One-Box-of-Fun,2014,504,65
311,14890,Creative Animals,2014,504,25
312,13530,Creative Ice Cream,2014,504,23
313,6540,Duplo Creative Building Cube,2014,504,75
314,8887,Zoo Care,2014,504,9
315,12723,Big Royal Castle,2014,504,135
316,5902,Clubhouse Café,2014,504,16
317,2344,Deluxe Box of Fun,2014,504,95
318,15640,Forest: Ducks,2015,504,13
319,948,Forest: Animals,2015,504,39
320,5636,Forest: Fishing Trip,2015,504,30
321,7621,Forest: Park,2015,504,102
322,12642,Mom and Baby,2015,504,13
323,12500,Ice Cream Truck,2015,504,11
324,3670,Café,2015,504,51
325,9009,Rally Car,2015,504,13
326,10632,Airport,2015,504,29
327,11511,Fire Boat,2015,504,19
328,14670,Fire Truck,2015,504,26
329,8092,Fire Station,2015,504,104
330,11197,Sofia the First™ Royal Stable,2015,504,38
331,10728,Sofia the First™ Royal Castle,2015,504,87
332,15863,Disney Princess™ Collection,2015,504,63
333,3091,Mickey & Minnie Birthday Parade,2015,504,24
334,15679,Batman Adventure,2015,504,46
335,2105,Disney • Pixar Cars™ Classic Race,2015,506,29
336,7128,Road Plates and Signs,1981,533,30
337,6740,Delivery Vehicle,2015,504,19
338,15442,Camping,2015,504,37
339,16156,My First Bus,2015,504,17
340,14168,Jake and the Never Land Pirates Treasure Island,2015,504,25
341,4019,Doc McStuffins Rosie the Ambulance,2015,504,16
342,11230,Doc McStuffins Backyard Clinic,2015,504,39
343,8358,Spider-Man Web-Bike Workshop,2015,504,13
344,13369,Spider-Man Spider Truck Adventure,2015,504,28
345,6550,UNICEF Van,1985,79,59
346,1908,Single Disk Pack,2000,20,1
347,9967,My First Tractor,2015,504,12
348,5989,My First Playhouse,2015,504,25
349,8238,My First Farm,2015,504,26
350,8325,LEGO® DUPLO® Creative Building Box,2015,504,69
351,13301,{Town Vehicles},1980,533,158
352,5385,Large Creative Box,2015,504,193
353,10962,Basic Bricks – Large,2015,505,0
354,5411,Community Workers,1985,533,169
355,8812,Dacta Buildings,1981,533,0
356,1696,House Accessories - 182 elements,1985,534,196
357,2884,XL Creative Brick Box,2016,365,1599
358,1678,Monster Trucks,2013,37,197
359,4276,My First LEGO Princess,2013,22,88
360,8966,My First LEGO Set,2013,37,148
361,4764,Blue Suitcase,2013,37,152
362,14917,Pink Suitcase,2013,37,157
363,4269,36 Little People + Accessories,1982,533,174
364,4060,My First LEGO Fire Station,2013,22,90
365,14263,LEGO Creative Bucket,2013,37,607
366,3057,LEGO Creative Chest,2013,22,607
367,12223,Creative Tower,2013,22,1599
368,8559,Spider-Man: Spider-Car Pursuit,2014,591,55
369,15909,Digger,2014,591,75
370,15144,Construction,2014,591,159
371,3043,The Princess Play Castle,2014,591,149
372,8156,Turtle Lair,2014,591,107
373,859,Community Vehicles,1988,507,251
374,8669,Fire Emergency,2014,591,123
375,15856,Batman: Defend the Batcave,2014,591,150
376,7063,Race Car Rally,2014,591,349
377,13000,Pony Farm,2014,591,305
378,3590,Police – The Big Escape,2014,591,146
379,4606,Knights’ Castle,2014,591,479
380,5208,Beach Excursion,2015,591,74
381,620,Pirate Treasure Hunt,2015,591,57
382,336,Garbage Truck,2015,591,99
383,7983,Air Patrol,1999,87,20
384,3462,Creative Building Cube,2014,37,599
385,5509,Creative Suitcase,2014,37,1016
386,3673,Road Work Truck,2015,591,132
387,16124,Supermarket Suitcase,2015,591,132
388,9821,Fire Suitcase,2015,591,113
389,3485,Family House,2015,591,226
390,10890,Spider-Man™ Hideout,2015,591,137
391,4592,Speedboat,1999,77,22
392,4568,Creative Bricks,2015,366,220
393,7290,Creative Supplement,2015,366,302
394,7049,Rocket,2015,365,12
395,11733,Creative Supplement Bright,2015,366,302
396,9940,Creative Building Box,2015,366,579
397,8080,Medium Creative Brick Box,2015,366,483
398,6333,XXXL Box,2015,365,1499
399,14220,Large Creative Brick Box,2015,366,789
400,1596,Sand Baseplate,2015,365,1
401,297,Green Baseplate,2015,365,1
402,9870,Stunt Flyer,1999,87,20
403,3060,Gray Baseplate,2015,365,1
404,13764,Creative Building Set,2016,365,582
405,15689,Creative Builder Box,2017,365,499
406,11342,Creative Box,2017,365,900
407,955,Creative Building Basket,2016,366,999
408,2575,Blue Creative Box,2017,365,78
409,15813,Red Creative Box,2017,365,55
410,5347,Green Creative Box,2017,365,66
411,12882,Orange Creative Box,2017,365,60
412,1093,4.5V Motor Set,1976,473,31
413,7958,Canada Post Mail Truck,1985,81,138
414,13797,Police Helicopter Chase,2016,591,63
415,5275,Iron Man vs Loki,2016,591,66
416,4327,Snake Showdown,2016,591,92
417,6676,Ariel's Dolphin Carriage,2016,591,70
418,16125,Batman & Superman vs. Lex Luthor,2016,482,164
419,544,Lost Temple,2016,591,171
420,11035,Stephanie's Horse Carriage,2016,496,58
421,12463,Emma's Ice Cream Truck,2016,494,136
422,6573,Mia's Vet Clinic,2016,494,182
423,7752,Cinderella's Carriage,2016,591,116
424,9341,Demolition Site,2017,591,162
425,15542,Police Truck Chase,2017,591,90
426,3818,Anna & Elsa's Frozen Playground,2017,591,94
427,541,Batman vs. Mr. Freeze,2017,591,63
428,1266,Fire Patrol Suitcase,2017,591,108
429,12887,Mia's Farm Suitcase,2017,591,104
430,850,Andrea and Stephanie's Beach Holiday,2017,591,141
431,14282,LEGO People Supplementary Set,1980,511,256
432,1279,Advent Calendar 1999,1999,207,228
433,9475,Advent Calendar 1999 (Day  9) Fire Engine,1999,217,10
434,10210,Advent Calendar 1999 (Day 10) Santa Minifig,1999,217,5
435,14151,Advent Calendar 1999 (Day 11) Dog,1999,217,8
436,13590,Advent Calendar 1999 (Day 12) Hippo,1999,217,9
437,1684,Advent Calendar 1999 (Day 13) Hovercraft,1999,217,10
438,3507,Advent Calendar 1999 (Day 14) Penguin,1999,217,8
439,6108,Advent Calendar 1999 (Day 15) Elf,1999,217,12
440,7540,Advent Calendar 1999 (Day 16) Seaplane,1999,217,10
441,9314,Advent Calendar 1999 (Day 17) Gentleman,1999,217,10
442,11329,Advent Calendar 1999 (Day 18) Elephant,1999,217,10
443,7015,Advent Calendar 1999 (Day  1) Plane,1999,217,11
444,6654,Advent Calendar 1999 (Day 19) Sea Plane,1999,217,8
445,16035,Advent Calendar 1999 (Day 20) Cow,1999,217,10
446,5791,Advent Calendar 1999 (Day 21) Police Car,1999,217,11
447,10703,Advent Calendar 1999 (Day 22) Dog with Red Hat,1999,217,12
448,13771,Advent Calendar 1999 (Day 23) Police Helicopter,1999,217,10
449,6802,Advent Calendar 1999 (Day 24) Santa,1999,217,11
450,29,Advent Calendar 1999 (Day  2) Snowman,1999,217,11
451,4069,Advent Calendar 1999 (Day  3) Speedboat,1999,217,7
452,2697,Advent Calendar 1999 (Day  4) Girl,1999,217,8
453,15739,Advent Calendar 1999 (Day  5) Sailboat,1999,217,9
454,5669,Advent Calendar 1999 (Day  6) Reindeer,1999,217,12
455,15661,Advent Calendar 1999 (Day  7) Plane,1999,217,10
456,16383,Advent Calendar 1999 (Day  8) Girl,1999,217,8
457,1187,Supplementary Set,1976,528,170
458,7519,Baby Animals,2016,504,13
459,15167,Savanna,2016,504,15
460,1154,Arctic,2016,504,32
461,10492,Jungle,2016,504,86
462,13105,Around the World,2016,504,148
463,8177,Horses,2016,504,20
464,8939,Little Plane,2016,504,13
465,4489,Battery Box,1976,243,1
466,17405,Push Train,2016,504,46
467,11607,Big Construction Site,2016,504,48
468,8925,Tow Truck Set,2016,504,26
469,1560,My First Truck,2016,504,29
470,16427,"Lego Duplo Creative Building Basket, Multi Color",2016,504,110
471,16806,Miles' Space Adventures,2017,504,23
472,16463,Miles' Exo-Flex Suit,2016,504,37
473,6581,Mickey and Friends Beach House,2016,504,48
474,1307,Mickey's Workshop,2016,504,18
475,2798,Minnie's Cafe,2016,504,27
476,13039,Supplementary Pack,1986,534,106
477,7003,My First Caterpillar,2016,504,19
478,13079,My First Number Train,2017,504,19
479,17958,My First Plane,2017,504,10
480,17752,My First Bird,2017,504,7
481,14774,Road Burner,1999,87,25
482,216,Lego Basic Figures - 24 elements,1985,534,24
483,15156,TECHNIC Control I,1986,1,397
484,1902,TECHNIC Control II,1986,1,467
485,3227,Arkham Asylum Breakout,2012,484,1619
486,8023,Johnny Thunder,1999,297,13
487,11431,Super Sub,1999,311,24
488,3710,Race Buggy,1997,82,23
489,7057,Res-Q Runner,1999,92,18
490,6900,Hang Glider,1998,87,19
491,15617,Ninja Blaster,1999,434,24
492,2794,Mini-Wheel Model Maker No. 1,1971,423,86
493,8069,Sky Pirates,2001,68,110
494,13693,Universal Building Set,1977,469,129
495,10870,Replacement 4.5V Motor,1977,443,1
496,792,Motor Bushes,1977,456,4
497,11603,Battery Box,1977,443,1
498,10401,DNA Student Set,2008,517,521
499,15150,Battery Cables (75cm),1977,443,2
500,2379,Crawler Tracks,1977,443,2
501,12515,Battery Tender,1977,456,2
502,14067,Basic Building Set,1999,470,413
503,8372,Signal and Direction-Change Switch,1977,456,4
504,12901,Magnetic Couplings,1977,456,4
505,6389,Magnetic Couplings for Railway Car,1977,456,4
506,3289,Basic Souvenir Box,1981,469,36
507,16022,Train Wheels,1977,456,8
508,6879,Universal Building Set,1977,469,173
509,2941,Rubber Rims for Locomotive Wheels,1977,456,8
510,14675,Starter Train Set without Motor,1966,235,118
511,15427,Train Sliding Wheel Blocks,1977,456,2
512,4162,Motor Frame and Couplers,1977,443,5
513,10776,Motor Frame,1977,443,1
514,6022,4.5V Lighting Brick (2 x 2),1977,443,1
515,15159,"Chain Links, Small",1977,443,25
516,702,"Boat Weight, Red",1977,443,1
517,15397,Locomotive Piston Assemblies,1977,456,6
518,1647,Small Pre-School Basic Set,1973,433,31
519,3248,Tires (42 mm),1977,443,2
520,4456,Universal Building Set,1977,469,200
521,3874,"Propellers, Wheels and Rotor Unit",1977,443,15
522,3806,Locomotive with Motor,1966,235,74
523,15438,Hinges,1977,443,3
524,8353,"Ball and Socket Couplings, Articulated Joint",1977,443,8
525,14290,Digger Bucket,1977,443,3
526,1366,Crane Grab,1977,443,3
527,9396,"Jack Complete Assembly, Blue",1983,443,1
528,1284,Santa,1999,227,39
529,9787,Santa on Skis,1997,227,21
530,5246,Storage Cloth (Spread Bag),1980,473,1
531,4387,Santa on Reindeer,1999,227,34
532,3759,Locomotive Traction Tires,1977,456,8
533,977,Storage Folder for Building Instructions (16 Internal Pockets),1980,443,1
534,6672,Universal Building Set,1977,469,293
535,1535,Tires (42 mm) and Hubs,1981,453,4
536,10454,Motorized Train Set,1966,235,344
537,1530,Hinges,1981,443,8
538,15007,Brick Hinges,1981,443,8
539,12593,Battery Wagon,1981,456,2
540,13005,"Battery Cable Kit: 12 Connectors, 3m Cable",1981,443,13
541,13172,"Battery Cable Kit: 16 Connectors, 3m Cable",1981,443,17
542,6056,"Battery Cable Kit: 20 Connectors, 3m Cable",1981,443,21
543,211,"Buffers, Magnetic Couplers",1981,456,6
544,5565,Train Couplings,1981,456,4
545,14324,Replacement Rubber Wheel Treads for Trains,1981,456,8
546,7887,Motor-Mount Plate with Magnetic Couplers,1981,456,5
547,7272,12V Light Bricks,1981,443,2
548,3401,Universal Building Set,1977,469,390
549,147,Wheel Bricks with Small Red Train Wheels,1981,456,2
550,402,Small Train Set,1966,235,88
551,8685,Wheel Bricks with Small Black Train-Wheels,1981,456,2
552,11191,Wheel Bricks with Large Red Train Wheels,1981,456,2
553,13804,Train Baseplate,1981,456,1
554,16331,Bogie Plate,1981,456,1
555,6356,"Pushrods, Cylinder Housings",1981,456,6
556,13088,"Light Prisms & Holder, Red/Yellow Light Covers",1981,456,7
557,16238,Differential,1981,453,5
558,2782,Air Police,2002,100,24
559,11703,Bulldozer Chainlinks,1982,453,52
560,11931,Replacement Motor 12V,1977,443,1
561,15067,Building Set,1973,469,190
562,10214,Train Power Pick-Up Blocks,1977,456,2
563,3669,Starter Train Set with Motor,1966,235,132
564,15533,Electric Wire,1977,456,2
565,14028,Battery Control Unit,1986,453,1
566,10036,"TECHNIC Pneumatic Tubing, 40cm +100cm",1985,453,2
567,14791,Starter Train Set with Motor,1967,235,364
568,1242,TECHNIC Pneumatic Pump Cylinder 48mm,1985,453,1
569,3250,Deluxe Motorized Train Set,1968,235,361
570,2143,TECHNIC Pneumatic Piston Cylinder 48mm,1985,453,1
571,8765,TECHNIC Pneumatic Piston Cylinder 60mm,1985,453,1
572,5643,TECHNIC Pneumatic 2 Way Valve and Nonreturn Valve,1985,453,2
573,7469,Battery Box,1986,1,1
574,1219,Bogie Plates,1986,456,2
575,4266,Replacement Train Battery Tender,1986,456,2
576,6557,Locomotive without Motor,1967,235,99
577,5284,Lighting Brick with Red and Blue Globes,1986,443,5
578,6717,Colored Globes,1986,443,5
579,5703,Motorhome for Basic Motor 4.5V/Train Motor 12V,1986,443,2
580,14575,4.5v TECHNIC Motor,1982,453,1
581,13884,Gear Racks and Turntables,1978,453,6
582,9873,Santa In Truck with Polar Bear,2000,227,26
583,13489,"Siren, Black",1986,443,1
584,11152,Replacement Space Siren,1986,443,1
585,1713,Space Port Moon Buggy,1999,93,25
586,2022,Electronic Train,1968,235,103
587,4408,Space Port Spacecraft,1999,93,23
588,1657,Small Train Set,1968,235,117
589,3899,Adventurers Raft,1999,297,18
590,11119,Motorized Freight or Passenger Train (Sears Exclusive),1969,235,419
591,14392,Mummy and Cart,1999,297,17
592,11500,Cart,1999,434,24
593,7330,Raft,1999,434,25
594,3859,Cart,1999,434,25
595,3403,Glider,1999,434,23
596,7373,Fire Formula,1999,87,38
